idx,correctly_marked_correct,questionably_marked_correct,incorrectly_marked_correct,correctly_marked_incorrect,questionably_marked_incorrect,incorrectly_marked_incorrect,incorrectly_marked_incorrect_coref_issue,incorrectly_marked_incorrect_punct_issue,incorrectly_marked_incorrect_conj_issue,contains_errors_out_of_scope
247,2,2,0,3,3,0,0,0,0,0
258,7,0,0,0,0,2,0,1,0,0
417,10,0,0,0,0,1,1,0,0,1
926,8,0,0,1,0,1,0,1,0,0
1376,9,0,0,0,0,1,1,0,0,0
1479,13,0,0,0,0,0,0,0,0,0
1629,17,0,0,1,1,1,0,0,0,0
1804,10,0,0,0,0,0,0,0,0,0
1888,11,0,0,0,0,0,0,0,0,0
2808,6,0,0,1,0,0,0,0,0,0
2832,3,0,0,3,0,0,0,0,0,0
2946,8,1,0,0,0,1,0,0,1,0
3785,6,0,0,0,0,0,0,0,0,0
3914,8,0,0,1,0,0,0,0,0,0
3926,2,0,0,0,1,1,0,0,1,0
3944,5,0,0,0,0,1,1,0,0,1
4203,5,0,0,0,0,2,1,0,0,0
4347,11,0,0,1,0,2,2,0,0,0
4510,1,0,0,2,0,0,0,0,0,0
4554,3,0,0,4,0,0,0,0,0,0
