idx,correctly_marked_correct,questionably_marked_correct,incorrectly_marked_correct,correctly_marked_incorrect,questionably_marked_incorrect,incorrectly_marked_incorrect,incorrectly_marked_incorrect_coref_issue,incorrectly_marked_incorrect_punct_issue,incorrectly_marked_incorrect_conj_issue,contains_errors_out_of_scope
247,11,0,0,0,0,0,0,0,0,0
258,8,0,0,1,0,1,0,0,0,0
417,5,0,0,0,0,0,0,0,0,0
926,4,0,0,2,0,0,0,0,0,0
1376,8,0,0,0,0,0,0,0,0,0
1479,10,0,0,0,0,0,0,0,0,0
1629,14,0,0,0,0,0,0,0,0,0
1804,9,0,0,0,0,0,0,0,0,0
1888,3,0,0,0,0,4,3,0,0,0
2808,9,0,0,0,0,0,0,0,0,0
2832,6,0,0,0,0,0,0,0,0,0
2946,10,0,0,0,0,0,0,0,0,0
3785,6,0,0,0,1,0,0,0,0,0
3914,10,0,0,0,0,0,0,0,0,0
3926,12,0,0,0,0,0,0,0,0,0
3944,12,0,0,0,0,0,0,0,0,0
4203,9,0,0,0,0,0,0,0,0,0
4347,16,0,0,0,0,0,0,0,0,0
4510,15,1,0,0,0,2,2,0,0,0
4554,9,0,0,0,0,0,0,0,0,0
